payment_id,order_id,payment_method,payment_amount,fee_amount,tax_amount,status,gateway_ref,transaction_time,settlement_status
pay_live_1020,ord_live_1010,WALLET,1592.0,23.88,4.3,CAPTURED,gw_ref_dup_778787,2026-07-15 14:34:45,SETTLED
pay_live_1021,ord_live_1011,CARD,763.0,15.26,2.75,CAPTURED,gw_ref_412974,2026-08-18 10:17:26,SETTLED
pay_live_1022,ord_live_1011,CARD,763.0,15.26,2.75,CAPTURED,gw_ref_dup_817659,2026-08-18 10:19:26,SETTLED
pay_live_1023,ord_live_1012,UPI,234.0,0.0,0.0,CAPTURED,gw_ref_452618,2026-07-14 03:57:27,SETTLED
pay_live_1024,ord_live_1012,UPI,234.0,0.0,0.0,CAPTURED,gw_ref_dup_389913,2026-07-14 03:59:27,SETTLED
pay_live_1025,ord_live_1013,CARD,17035.0,340.7,61.33,CAPTURED,gw_ref_373832,2026-07-09 17:10:46,SETTLED
pay_live_1026,ord_live_1013,CARD,17035.0,340.7,61.33,CAPTURED,gw_ref_dup_787991,2026-07-09 17:12:46,SETTLED
pay_live_1027,ord_live_1014,CARD,1294.0,25.88,4.66,CAPTURED,gw_ref_297509,2026-07-25 20:16:50,SETTLED
pay_live_1028,ord_live_1014,CARD,1294.0,25.88,4.66,CAPTURED,gw_ref_dup_257212,2026-07-25 20:18:50,SETTLED
pay_live_1029,ord_live_1015,UPI,30016.0,0.0,0.0,CAPTURED,gw_ref_159532,2026-08-09 14:52:56,SETTLED
pay_live_1030,ord_live_1015,UPI,30016.0,0.0,0.0,CAPTURED,gw_ref_dup_944554,2026-08-09 14:54:56,SETTLED
pay_live_1031,ord_live_1016,NET_BANKING,1319.0,15.0,2.7,CAPTURED,gw_ref_792616,2026-07-30 01:20:11,SETTLED
pay_live_1032,ord_live_1016,NET_BANKING,1319.0,15.0,2.7,CAPTURED,gw_ref_dup_435109,2026-07-30 01:22:11,SETTLED
pay_live_1033,ord_live_1017,CARD,19595.0,391.9,70.54,CAPTURED,gw_ref_787237,2026-08-17 17:50:04,SETTLED
pay_live_1034,ord_live_1017,CARD,19595.0,391.9,70.54,CAPTURED,gw_ref_dup_621533,2026-08-17 17:52:04,SETTLED
pay_live_1035,ord_live_1018,WALLET,1028.0,15.42,2.78,CAPTURED,gw_ref_538897,2026-07-01 08:59:08,SETTLED
pay_live_1036,ord_live_1018,WALLET,1028.0,15.42,2.78,CAPTURED,gw_ref_dup_524252,2026-07-01 09:01:08,SETTLED
pay_live_1037,ord_live_1019,UPI,5486.0,0.0,0.0,CAPTURED,gw_ref_711344,2026-08-09 18:54:08,SETTLED
pay_live_1038,ord_live_1019,UPI,5486.0,0.0,0.0,CAPTURED,gw_ref_dup_842464,2026-08-09 18:56:08,SETTLED
pay_live_1039,ord_live_1020,WALLET,19674.0,295.11,53.12,CAPTURED,gw_ref_459836,2026-08-19 01:59:47,SETTLED
pay_live_1040,ord_live_1020,WALLET,19674.0,295.11,53.12,CAPTURED,gw_ref_dup_861842,2026-08-19 02:01:47,SETTLED
pay_live_1041,ord_live_1021,CARD,505.2,10.1,1.82,CAPTURED,gw_ref_769320,2026-07-19 16:07:58,SETTLED
pay_live_1042,ord_live_1022,CARD,41907.6,838.15,150.87,CAPTURED,gw_ref_631958,2026-08-03 13:11:55,SETTLED
pay_live_1043,ord_live_1023,UPI,1131.0,0.0,0.0,CAPTURED,gw_ref_981473,2026-08-07 22:15:36,SETTLED
pay_live_1044,ord_live_1024,CARD,884.4,17.69,3.18,CAPTURED,gw_ref_289934,2026-08-10 20:33:52,SETTLED
pay_live_1045,ord_live_1025,UPI,474.6,0.0,0.0,CAPTURED,gw_ref_234159,2026-07-02 03:39:25,SETTLED
pay_live_1046,ord_live_1026,CARD,4714.8,94.3,16.97,CAPTURED,gw_ref_899977,2026-07-14 12:01:58,SETTLED
pay_live_1047,ord_live_1027,NET_BANKING,1762.8,15.0,2.7,CAPTURED,gw_ref_786224,2026-07-31 15:37:09,SETTLED
pay_live_1048,ord_live_1028,UPI,38973.6,0.0,0.0,CAPTURED,gw_ref_334176,2026-07-06 12:45:38,SETTLED
pay_live_1049,ord_live_1029,CARD,4530.0,90.6,16.31,CAPTURED,gw_ref_540897,2026-08-13 05:43:53,SETTLED
pay_live_1050,ord_live_1030,CARD,32593.2,651.86,117.33,CAPTURED,gw_ref_489737,2026-07-15 15:15:33,SETTLED
pay_live_1051,ord_live_1031,UPI,1046.0,0.0,0.0,CAPTURED,gw_ref_586288,2026-07-15 11:31:31,SETTLED
pay_live_1052,ord_live_1032,NET_BANKING,76935.0,15.0,2.7,CAPTURED,gw_ref_156284,2026-07-05 16:14:36,SETTLED
pay_live_1053,ord_live_1033,NET_BANKING,23842.0,15.0,2.7,CAPTURED,gw_ref_595158,2026-07-10 21:01:10,SETTLED
pay_live_1054,ord_live_1034,NET_BANKING,1525.0,15.0,2.7,CAPTURED,gw_ref_225636,2026-08-16 02:47:11,SETTLED
pay_live_1055,ord_live_1035,NET_BANKING,218.0,15.0,2.7,CAPTURED,gw_ref_655575,2026-08-07 08:37:28,SETTLED
pay_live_1056,ord_live_1036,UPI,18477.0,0.0,0.0,CAPTURED,gw_ref_995735,2026-08-02 14:04:09,SETTLED
pay_live_1057,ord_live_1037,UPI,238.0,0.0,0.0,CAPTURED,gw_ref_459315,2026-08-12 16:26:59,SETTLED
pay_live_1058,ord_live_1038,UPI,266.0,0.0,0.0,CAPTURED,gw_ref_250181,2026-07-27 06:41:40,SETTLED
pay_live_1059,ord_live_1039,UPI,12295.0,0.0,0.0,CAPTURED,gw_ref_916779,2026-07-15 17:26:50,SETTLED
pay_live_1060,ord_live_1040,UPI,24754.0,0.0,0.0,CAPTURED,gw_ref_761685,2026-06-30 23:42:36,SETTLED
pay_live_1061,ord_live_1041,WALLET,642.0,9.63,1.73,CAPTURED,gw_ref_765320,2026-07-08 20:58:54,SETTLED
pay_live_1062,ord_live_1042,UPI,1806.0,0.0,0.0,CAPTURED,gw_ref_386814,2026-08-04 07:23:40,SETTLED
pay_live_1063,ord_live_1043,UPI,1457.0,0.0,0.0,CAPTURED,gw_ref_704272,2026-07-06 13:17:43,SETTLED
pay_live_1064,ord_live_1044,CARD,676.0,13.52,2.43,CAPTURED,gw_ref_923353,2026-08-07 15:49:41,SETTLED
pay_live_1065,ord_live_1045,CARD,53122.0,1062.44,191.24,CAPTURED,gw_ref_235691,2026-07-31 17:58:53,SETTLED
pay_live_1066,ord_live_1046,CARD,665.0,13.3,2.39,CAPTURED,gw_ref_522988,2026-07-02 09:25:38,SETTLED
pay_live_1067,ord_live_1047,UPI,1003.0,0.0,0.0,CAPTURED,gw_ref_501936,2026-08-05 07:31:49,SETTLED
pay_live_1068,ord_live_1048,UPI,65286.0,0.0,0.0,CAPTURED,gw_ref_309100,2026-07-10 02:07:36,SETTLED
pay_live_1069,ord_live_1049,CARD,360.0,7.2,1.3,CAPTURED,gw_ref_437864,2026-07-02 18:24:14,SETTLED
pay_live_1070,ord_live_1050,CARD,5368.0,107.36,19.32,CAPTURED,gw_ref_299834,2026-07-23 03:01:36,SETTLED
pay_live_1071,ord_live_1051,UPI,35514.0,0.0,0.0,CAPTURED,gw_ref_757128,2026-07-10 14:56:38,SETTLED
pay_live_1072,ord_live_1052,CARD,15491.0,309.82,55.77,CAPTURED,gw_ref_827213,2026-08-12 08:53:20,SETTLED
pay_live_1073,ord_live_1053,NET_BANKING,178.0,15.0,2.7,CAPTURED,gw_ref_235193,2026-07-30 16:15:41,SETTLED
pay_live_1074,ord_live_1054,UPI,34915.0,0.0,0.0,CAPTURED,gw_ref_717265,2026-07-14 09:46:39,SETTLED
pay_live_1075,ord_live_1055,UPI,70680.0,0.0,0.0,CAPTURED,gw_ref_963862,2026-07-17 20:42:15,SETTLED
pay_live_1076,ord_live_1056,UPI,155.0,0.0,0.0,CAPTURED,gw_ref_578073,2026-07-07 17:14:15,SETTLED
pay_live_1077,ord_live_1057,CARD,13327.0,266.54,47.98,CAPTURED,gw_ref_454245,2026-08-15 19:32:16,SETTLED
pay_live_1078,ord_live_1058,UPI,189.0,0.0,0.0,CAPTURED,gw_ref_459381,2026-08-14 22:01:51,SETTLED
pay_live_1079,ord_live_1059,WALLET,1459.0,21.88,3.94,CAPTURED,gw_ref_476701,2026-07-22 04:25:02,SETTLED
pay_live_1080,ord_live_1060,CARD,15382.0,307.64,55.38,CAPTURED,gw_ref_951452,2026-07-20 21:45:52,SETTLED
pay_live_1081,ord_live_1061,UPI,14423.0,0.0,0.0,CAPTURED,gw_ref_335217,2026-08-13 08:59:17,SETTLED
pay_live_1082,ord_live_1062,CARD,39914.0,798.28,143.69,CAPTURED,gw_ref_321449,2026-07-18 15:29:07,SETTLED
pay_live_1083,ord_live_1063,CARD,536.0,10.72,1.93,CAPTURED,gw_ref_277193,2026-08-02 00:55:25,SETTLED
pay_live_1084,ord_live_1064,UPI,1458.0,0.0,0.0,CAPTURED,gw_ref_493417,2026-08-10 04:21:34,SETTLED
pay_live_1085,ord_live_1065,NET_BANKING,506.0,15.0,2.7,CAPTURED,gw_ref_908713,2026-07-09 09:04:35,SETTLED
pay_live_1086,ord_live_1066,UPI,8371.0,0.0,0.0,CAPTURED,gw_ref_722774,2026-08-15 07:25:05,SETTLED
pay_live_1087,ord_live_1067,WALLET,2181.0,32.71,5.89,CAPTURED,gw_ref_785315,2026-08-17 12:50:32,SETTLED
pay_live_1088,ord_live_1068,NET_BANKING,10165.0,15.0,2.7,CAPTURED,gw_ref_823255,2026-07-07 23:09:25,SETTLED
pay_live_1089,ord_live_1069,UPI,116589.0,0.0,0.0,CAPTURED,gw_ref_498724,2026-08-17 23:43:49,SETTLED
pay_live_1090,ord_live_1070,UPI,424.0,0.0,0.0,CAPTURED,gw_ref_597440,2026-08-17 00:30:35,SETTLED
pay_live_1091,ord_live_1071,CARD,1691.0,33.82,6.09,REFUNDED,gw_ref_828961,2026-08-03 00:42:10,SETTLED
pay_live_1092,ord_live_1072,CARD,9683.0,193.66,34.86,REFUNDED,gw_ref_415743,2026-07-17 19:21:11,SETTLED
pay_live_1093,ord_live_1073,UPI,1520.0,0.0,0.0,REFUNDED,gw_ref_794663,2026-07-10 07:14:05,SETTLED
pay_live_1094,ord_live_1074,UPI,15624.0,0.0,0.0,REFUNDED,gw_ref_539170,2026-07-03 15:54:46,SETTLED
pay_live_1095,ord_live_1075,NET_BANKING,21280.0,15.0,2.7,REFUNDED,gw_ref_636435,2026-08-18 03:25:33,SETTLED
pay_live_1096,ord_live_1076,CARD,15730.0,314.6,56.63,REFUNDED,gw_ref_396439,2026-08-04 08:48:44,SETTLED
pay_live_1097,ord_live_1077,UPI,1093.0,0.0,0.0,REFUNDED,gw_ref_621917,2026-07-01 21:22:46,SETTLED
pay_live_1098,ord_live_1078,UPI,28364.0,0.0,0.0,REFUNDED,gw_ref_915749,2026-08-09 02:03:50,SETTLED
pay_live_1099,ord_live_1079,UPI,4750.0,0.0,0.0,REFUNDED,gw_ref_311469,2026-08-10 22:13:32,SETTLED
pay_live_1100,ord_live_1080,UPI,769.0,0.0,0.0,REFUNDED,gw_ref_409698,2026-07-13 23:24:00,SETTLED
pay_live_1101,ord_live_1081,UPI,266.0,0.0,0.0,CAPTURED,gw_ref_620465,2026-07-30 09:52:24,SETTLED
pay_live_1102,ord_live_1082,NET_BANKING,3319.0,15.0,2.7,CAPTURED,gw_ref_446663,2026-08-17 09:19:28,SETTLED
pay_live_1103,ord_live_1083,UPI,1068.0,0.0,0.0,CAPTURED,gw_ref_804258,2026-08-11 12:36:29,SETTLED
pay_live_1104,ord_live_1084,UPI,7498.0,0.0,0.0,CAPTURED,gw_ref_975804,2026-08-08 04:48:51,SETTLED
pay_live_1105,ord_live_1085,CARD,89169.0,1783.38,321.01,CAPTURED,gw_ref_256389,2026-08-06 10:03:41,SETTLED
pay_live_1106,ord_live_1086,WALLET,1513.0,22.7,4.09,CAPTURED,gw_ref_178693,2026-08-09 16:11:15,SETTLED
pay_live_1107,ord_live_1087,CARD,72181.0,1443.62,259.85,CAPTURED,gw_ref_368322,2026-08-05 10:23:35,SETTLED
pay_live_1108,ord_live_1088,CARD,1425.0,28.5,5.13,CAPTURED,gw_ref_410401,2026-07-21 09:58:29,SETTLED
pay_live_1109,ord_live_1089,UPI,135259.0,0.0,0.0,CAPTURED,gw_ref_204657,2026-08-14 13:27:46,SETTLED
pay_live_1110,ord_live_1090,NET_BANKING,17232.0,15.0,2.7,CAPTURED,gw_ref_993647,2026-07-28 08:37:47,SETTLED
pay_live_1111,ord_live_1091,UPI,25679.0,0.0,0.0,CAPTURED,gw_ref_546688,2026-07-17 23:18:38,SETTLED
pay_live_1112,ord_live_1092,CARD,13023.0,260.46,46.88,CAPTURED,gw_ref_992596,2026-07-02 00:55:18,SETTLED
pay_live_1113,ord_live_1093,CARD,628.0,12.56,2.26,CAPTURED,gw_ref_110142,2026-07-21 17:57:11,SETTLED
pay_live_1114,ord_live_1094,NET_BANKING,8260.0,15.0,2.7,CAPTURED,gw_ref_444625,2026-07-05 16:48:03,SETTLED
pay_live_1115,ord_live_1095,UPI,18083.0,0.0,0.0,CAPTURED,gw_ref_752011,2026-07-28 09:09:12,SETTLED
pay_live_1116,ord_live_1096,UPI,1290.0,90.3,16.25,CAPTURED,gw_ref_490722,2026-07-24 00:36:30,SETTLED
pay_live_1117,ord_live_1097,NET_BANKING,1538.0,107.66,19.38,CAPTURED,gw_ref_219361,2026-07-29 17:20:59,SETTLED
pay_live_1118,ord_live_1098,UPI,1620.0,113.4,20.41,CAPTURED,gw_ref_385037,2026-08-04 07:15:15,SETTLED
pay_live_1119,ord_live_1099,NET_BANKING,1306.0,91.42,16.46,CAPTURED,gw_ref_938754,2026-08-18 01:42:32,SETTLED
pay_live_1120,ord_live_1100,UPI,838.0,58.66,10.56,CAPTURED,gw_ref_218548,2026-07-11 18:02:20,SETTLED
pay_live_1121,ord_live_1101,UPI,147530.0,10327.1,1858.88,CAPTURED,gw_ref_985364,2026-07-19 07:09:20,SETTLED
pay_live_1122,ord_live_1102,UPI,17381.0,1216.67,219.0,CAPTURED,gw_ref_719446,2026-07-30 23:24:54,SETTLED
pay_live_1123,ord_live_1103,UPI,232.0,16.24,2.92,CAPTURED,gw_ref_290065,2026-07-26 00:08:30,SETTLED
pay_live_1124,ord_live_1104,CARD,39912.0,2793.84,502.89,CAPTURED,gw_ref_741055,2026-07-05 16:10:48,SETTLED
pay_live_1125,ord_live_1105,UPI,9395.0,657.65,118.38,CAPTURED,gw_ref_606545,2026-08-19 01:25:44,SETTLED
pay_live_1126,ord_live_1106,WALLET,115027.0,8051.89,1449.34,CAPTURED,gw_ref_531262,2026-08-06 04:04:46,SETTLED
pay_live_1127,ord_live_1107,UPI,10671.0,746.97,134.45,CAPTURED,gw_ref_374320,2026-08-11 11:10:57,SETTLED
pay_live_1128,ord_live_1108,CARD,935.0,65.45,11.78,CAPTURED,gw_ref_838793,2026-07-29 07:38:46,SETTLED
pay_live_1129,ord_live_1109,NET_BANKING,678.0,47.46,8.54,CAPTURED,gw_ref_904812,2026-08-13 23:09:21,SETTLED
pay_live_1130,ord_live_1110,CARD,8482.0,593.74,106.87,CAPTURED,gw_ref_334865,2026-07-27 12:39:13,SETTLED
pay_live_1131,ord_live_1111,WALLET,438.0,6.57,1.18,CAPTURED,gw_ref_644315,2026-08-19 18:41:50,SETTLED
pay_live_1132,ord_live_1112,UPI,11964.0,0.0,0.0,CAPTURED,gw_ref_553873,2026-08-13 21:18:30,SETTLED
pay_live_1133,ord_live_1113,CARD,16156.0,323.12,58.16,CAPTURED,gw_ref_605339,2026-08-16 19:40:33,SETTLED
pay_live_1134,ord_live_1114,UPI,77720.0,0.0,0.0,CAPTURED,gw_ref_255875,2026-08-18 06:55:44,SETTLED
pay_live_1135,ord_live_1115,NET_BANKING,16490.0,15.0,2.7,CAPTURED,gw_ref_742686,2026-07-17 14:42:22,SETTLED
pay_live_1136,ord_live_1116,UPI,781.0,0.0,0.0,CAPTURED,gw_ref_630126,2026-07-21 06:08:24,SETTLED
pay_live_1137,ord_live_1117,NET_BANKING,11444.0,15.0,2.7,CAPTURED,gw_ref_273438,2026-08-11 21:57:11,SETTLED
pay_live_1138,ord_live_1118,UPI,761.0,0.0,0.0,CAPTURED,gw_ref_436208,2026-07-07 21:59:53,SETTLED
pay_live_1139,ord_live_1119,UPI,3776.0,0.0,0.0,CAPTURED,gw_ref_152796,2026-07-13 01:26:11,SETTLED
pay_live_1140,ord_live_1120,UPI,8670.0,0.0,0.0,CAPTURED,gw_ref_774567,2026-07-18 02:13:50,SETTLED
pay_live_1141,ord_live_1121,UPI,1389.0,0.0,0.0,CAPTURED,gw_ref_182659,2026-08-07 16:47:20,SETTLED
pay_live_1142,ord_live_1122,UPI,5054.0,0.0,0.0,CAPTURED,gw_ref_192295,2026-07-14 12:33:06,SETTLED
pay_live_1143,ord_live_1123,NET_BANKING,10959.0,15.0,2.7,CAPTURED,gw_ref_431414,2026-07-27 00:34:13,SETTLED
pay_live_1144,ord_live_1124,UPI,1986.0,0.0,0.0,CAPTURED,gw_ref_881439,2026-08-08 01:52:20,SETTLED
pay_live_1145,ord_live_1125,CARD,1716.0,34.32,6.18,CAPTURED,gw_ref_523037,2026-07-26 20:00:52,SETTLED
pay_live_1146,ord_live_1126,UPI,710.0,0.0,0.0,CAPTURED,gw_ref_675771,2026-08-07 03:47:26,SETTLED
pay_live_1147,ord_live_1127,UPI,12893.0,0.0,0.0,CAPTURED,gw_ref_930244,2026-08-05 02:25:25,SETTLED
pay_live_1148,ord_live_1128,CARD,106301.0,2126.02,382.68,CAPTURED,gw_ref_633030,2026-08-05 21:17:39,SETTLED
pay_live_1149,ord_live_1129,CARD,14492.0,289.84,52.17,CAPTURED,gw_ref_457411,2026-07-25 06:54:55,SETTLED
pay_live_1150,ord_live_1130,UPI,1307.0,0.0,0.0,CAPTURED,gw_ref_956255,2026-07-21 12:56:31,SETTLED
pay_live_1151,ord_live_1131,UPI,21005.0,0.0,0.0,CAPTURED,gw_ref_448098,2026-08-15 13:30:57,PENDING
pay_live_1152,ord_live_1132,CARD,10684.0,213.68,38.46,CAPTURED,gw_ref_851470,2026-07-22 04:48:37,PENDING
pay_live_1153,ord_live_1133,CARD,54971.0,1099.42,197.9,CAPTURED,gw_ref_219562,2026-07-24 19:44:46,PENDING
pay_live_1154,ord_live_1134,UPI,239.0,0.0,0.0,CAPTURED,gw_ref_102303,2026-07-16 05:46:01,PENDING
pay_live_1155,ord_live_1135,UPI,300.0,0.0,0.0,CAPTURED,gw_ref_674295,2026-08-18 05:48:34,PENDING
pay_live_1156,ord_live_1136,UPI,2948.0,0.0,0.0,CAPTURED,gw_ref_148001,2026-07-02 19:51:07,PENDING
pay_live_1157,ord_live_1137,NET_BANKING,599.0,15.0,2.7,CAPTURED,gw_ref_247271,2026-08-02 22:41:05,PENDING
pay_live_1158,ord_live_1138,NET_BANKING,1882.0,15.0,2.7,CAPTURED,gw_ref_212157,2026-07-25 04:46:54,PENDING
pay_live_1159,ord_live_1139,UPI,1405.0,0.0,0.0,CAPTURED,gw_ref_296653,2026-07-16 23:18:32,PENDING
pay_live_1160,ord_live_1140,UPI,64407.0,0.0,0.0,CAPTURED,gw_ref_326061,2026-08-03 14:07:59,PENDING
pay_live_1161,ord_live_1141,UPI,15903.0,0.0,0.0,CAPTURED,gw_ref_851606,2026-08-13 17:31:41,PENDING
pay_live_1162,ord_live_1142,UPI,26989.0,0.0,0.0,CAPTURED,gw_ref_148759,2026-07-15 21:40:04,PENDING
pay_live_1163,ord_live_1143,WALLET,1798.0,26.97,4.85,CAPTURED,gw_ref_909652,2026-08-11 21:18:13,PENDING
pay_live_1164,ord_live_1144,NET_BANKING,38756.0,15.0,2.7,CAPTURED,gw_ref_790441,2026-08-18 16:42:55,PENDING
pay_live_1165,ord_live_1145,CARD,612.0,12.24,2.2,CAPTURED,gw_ref_241176,2026-08-13 08:54:10,PENDING
pay_live_1166,ord_live_1146,WALLET,62358.0,935.37,168.37,CAPTURED,gw_ref_656127,2026-07-02 18:50:40,SETTLED
pay_live_1167,ord_live_1147,CARD,4953.0,99.06,17.83,CAPTURED,gw_ref_553834,2026-07-18 19:52:19,SETTLED
pay_live_1168,ord_live_1148,NET_BANKING,13988.0,15.0,2.7,CAPTURED,gw_ref_633025,2026-08-03 02:02:34,SETTLED
pay_live_1169,ord_live_1149,CARD,113685.0,2273.7,409.27,CAPTURED,gw_ref_825423,2026-08-16 19:52:47,SETTLED
pay_live_1170,ord_live_1150,CARD,9392.0,187.84,33.81,CAPTURED,gw_ref_208584,2026-08-13 08:44:40,SETTLED
pay_live_1171,ord_live_1151,UPI,1197.0,0.0,0.0,CAPTURED,gw_ref_628597,2026-07-07 23:26:37,SETTLED
pay_live_1172,ord_live_1152,NET_BANKING,44344.0,15.0,2.7,CAPTURED,gw_ref_738576,2026-07-07 06:18:14,SETTLED
pay_live_1173,ord_live_1153,NET_BANKING,1348.0,15.0,2.7,CAPTURED,gw_ref_386886,2026-07-15 05:06:57,SETTLED
pay_live_1174,ord_live_1154,UPI,5823.0,0.0,0.0,CAPTURED,gw_ref_408463,2026-07-08 10:05:24,SETTLED
pay_live_1175,ord_live_1155,UPI,1199.0,0.0,0.0,CAPTURED,gw_ref_244892,2026-07-08 21:30:41,SETTLED
pay_live_1176,ord_live_1156,UPI,62920.0,0.0,0.0,CAPTURED,gw_ref_413433,2026-07-07 00:43:58,SETTLED
pay_live_1177,ord_live_1157,NET_BANKING,1009.0,15.0,2.7,CAPTURED,gw_ref_429159,2026-07-15 20:11:33,SETTLED
pay_live_1178,ord_live_1158,CARD,914.0,18.28,3.29,CAPTURED,gw_ref_763311,2026-07-17 15:12:47,SETTLED
pay_live_1179,ord_live_1159,UPI,1408.0,0.0,0.0,CAPTURED,gw_ref_754487,2026-08-07 09:05:47,SETTLED
pay_live_1180,ord_live_1160,CARD,8724.0,174.48,31.41,CAPTURED,gw_ref_805034,2026-07-05 02:16:43,SETTLED
pay_live_1181,ord_live_1161,UPI,401.0,0.0,0.0,CAPTURED,gw_ref_628370,2026-08-20 04:01:58,SETTLED
pay_live_1182,ord_live_1162,UPI,456.0,0.0,0.0,CAPTURED,gw_ref_844858,2026-07-08 06:57:56,SETTLED
pay_live_1183,ord_live_1163,UPI,9796.0,0.0,0.0,CAPTURED,gw_ref_689593,2026-08-06 19:04:21,SETTLED
pay_live_1184,ord_live_1164,UPI,19238.0,0.0,0.0,CAPTURED,gw_ref_806995,2026-07-08 08:08:13,SETTLED
pay_live_1185,ord_live_1165,CARD,5573.0,111.46,20.06,CAPTURED,gw_ref_399817,2026-07-29 01:19:22,SETTLED
pay_live_1186,ord_live_1166,NET_BANKING,17009.0,15.0,2.7,CAPTURED,gw_ref_947568,2026-08-10 09:07:16,SETTLED
pay_live_1187,ord_live_1167,UPI,16534.0,0.0,0.0,CAPTURED,gw_ref_126499,2026-07-04 11:21:42,SETTLED
pay_live_1188,ord_live_1168,UPI,1395.0,0.0,0.0,CAPTURED,gw_ref_802812,2026-08-07 02:45:57,SETTLED
pay_live_1189,ord_live_1169,UPI,1134.0,0.0,0.0,CAPTURED,gw_ref_886626,2026-08-07 22:09:16,SETTLED
pay_live_1190,ord_live_1170,CARD,9045.0,180.9,32.56,CAPTURED,gw_ref_816586,2026-07-27 23:58:50,SETTLED
pay_live_1191,ord_live_1171,UPI,1593.0,0.0,0.0,CAPTURED,gw_ref_824141,2026-07-06 19:28:01,SETTLED
pay_live_1192,ord_live_1172,CARD,17540.0,350.8,63.14,CAPTURED,gw_ref_890200,2026-07-04 11:54:59,SETTLED
pay_live_1193,ord_live_1173,UPI,14210.0,0.0,0.0,CAPTURED,gw_ref_953568,2026-07-09 02:06:50,SETTLED
pay_live_1194,ord_live_1174,UPI,1888.0,0.0,0.0,CAPTURED,gw_ref_335203,2026-08-11 23:00:55,SETTLED
pay_live_1195,ord_live_1175,CARD,311.0,6.22,1.12,CAPTURED,gw_ref_507777,2026-08-06 01:18:06,SETTLED
pay_live_1196,ord_live_1176,UPI,1238.0,0.0,0.0,CAPTURED,gw_ref_826596,2026-07-23 12:50:54,SETTLED
pay_live_1197,ord_live_1177,CARD,70294.0,1405.88,253.06,CAPTURED,gw_ref_506380,2026-08-09 04:47:06,SETTLED
pay_live_1198,ord_live_1178,UPI,37527.0,0.0,0.0,CAPTURED,gw_ref_678944,2026-07-01 14:20:34,SETTLED
pay_live_1199,ord_live_1179,UPI,1880.0,0.0,0.0,CAPTURED,gw_ref_312952,2026-07-10 03:44:43,SETTLED
pay_live_1200,ord_live_1180,CARD,87027.0,1740.54,313.3,CAPTURED,gw_ref_970300,2026-08-17 01:17:20,SETTLED
pay_live_1201,ord_live_1181,UPI,737.0,0.0,0.0,CAPTURED,gw_ref_891787,2026-08-15 19:52:54,SETTLED
pay_live_1202,ord_live_1182,CARD,1364.0,27.28,4.91,CAPTURED,gw_ref_913848,2026-07-04 06:07:07,SETTLED
